tax_code,node_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
0402149708,COMPANY::0402149708,0.34246963,-0.25851172,0.14706391,-0.115308225,-0.109364174,0.09955054,0.0025979425,-0.08498393,0.07343948,-0.26388282,-0.22479443,0.11352484,-0.23794572,0.19383006,-0.050188314,0.3053239,0.28990513,-0.110796414,0.095405795,-0.1946081,-0.033562206,0.028354632,-0.03465036,-0.02507653,0.266598,-0.08928909,-0.1369546,0.2912389,0.049129777,0.14455825,0.13728346,0.22726277
0317305554,COMPANY::0317305554,0.30924603,-0.23192005,0.16240291,-0.10305871,-0.0699251,0.10316839,0.023573345,-0.0929468,0.016542219,-0.26272783,-0.14893681,0.1272306,-0.23932259,0.1478337,-0.036760908,0.33721846,0.13988067,-0.059043527,0.29485106,-0.27599528,0.010662346,-0.094315365,0.05853162,-0.13863896,0.26001027,-0.19627082,-0.030832488,0.2879155,0.041238066,-0.048975192,0.23699845,0.13758224
0317300193,COMPANY::0317300193,0.3389014,-0.12799007,0.07815077,-0.090541676,-0.09794161,0.06920853,-0.07606181,0.13625859,0.028320365,-0.24143124,0.19504103,0.09742739,0.048286855,-0.03627836,-0.123556994,0.15075995,0.41708672,0.17771715,0.0893807,-0.19208574,-0.027905367,0.077185445,-0.034032457,-0.045610126,0.22152588,-0.35994318,-0.2755291,0.2789117,0.1447588,0.10801108,0.10677812,0.1751819
3703060512,COMPANY::3703060512,0.29402524,-0.1254436,-0.029619843,0.06268801,0.022580512,0.13934718,-0.26384073,0.058697745,-0.18082428,-0.15062079,0.1942328,0.104813315,0.06884979,-0.08793874,-0.14254479,0.03669005,0.35279334,0.16413201,-0.0644458,-0.12863736,0.058437828,0.14545837,-0.02459877,0.0068488144,-0.09820275,-0.2784362,-0.34506804,0.36886328,0.07333141,0.3004294,-0.007406477,0.16268067
3703060840,COMPANY::3703060840,0.241043,-0.42787126,-0.094821945,-0.049495637,-0.048721425,-0.10817317,-0.19001622,0.07341584,0.23370901,0.17646936,-0.02215647,0.055540804,0.055342402,0.089199506,0.06647337,0.49376464,0.23037978,-0.029993434,0.040791236,0.21637176,0.20358375,0.16023168,0.056519885,0.17600395,-0.17563155,0.13992473,0.099493675,0.007915739,0.17726402,0.12188204,-0.1671042,0.06998103
0401799005-003,COMPANY::0401799005-003,0.19496116,-0.21782215,-0.07643478,0.1575647,0.11927737,-0.008527233,-0.020068292,-0.08278811,-0.4065528,-0.04289483,0.0052861087,0.4120601,-0.024051078,-0.24373308,-0.21879017,0.13097997,0.26518646,-0.08702565,0.09072405,-0.31114116,-0.017149152,0.09168731,-0.012252182,0.011631581,-0.07392629,-0.20858929,-0.11564944,0.01897963,0.03463226,0.17272319,0.19315802,0.27818525
0110005201,COMPANY::0110005201,0.1855728,-0.18934591,0.060518432,-0.174301,0.029245835,0.07647167,0.03387996,0.02150948,0.06664246,-0.2047743,-0.08692144,0.09948305,-0.12415901,0.12239817,-0.12923658,0.30343914,0.31380117,-0.13200796,0.2455418,-0.28383574,-0.08798302,-0.1465614,0.04382258,-0.0728709,0.25189212,-0.20825136,-0.21708156,0.3611882,0.05099145,-0.07527754,0.27960813,0.14249153
3703060495,COMPANY::3703060495,0.311539,-0.17334893,0.022416994,-0.04027775,-0.05427349,0.08721165,-0.17621912,0.108344324,-0.052143734,-0.2444789,0.16375177,0.1699908,0.0044448613,-0.030186942,-0.15519468,0.10985795,0.35815582,0.074096456,0.12776916,-0.04731358,0.08089479,0.020624392,-0.037676584,-0.08183239,-0.19048999,-0.3407144,-0.3706299,0.40575245,0.092347406,0.098434046,0.082703896,0.12366772
0402149715,COMPANY::0402149715,0.24329749,-0.19990224,0.08955778,-0.32419047,-0.07698726,0.040214255,0.08593934,-0.02264983,0.24352184,-0.20513847,-0.030646997,0.036458436,-0.08688236,0.10669857,-0.10913694,0.24677949,0.39130005,-0.07415704,0.18067949,-0.18340841,-0.04085589,0.022548353,0.009606501,-0.09165909,0.10671635,-0.2709375,-0.25033212,0.37412375,0.03998259,0.018528363,0.20708837,0.09517096
0317300637,COMPANY::0317300637,0.3013499,-0.24195638,0.11454736,-0.09757095,-0.07131446,0.11330569,-0.019166814,-0.051115047,0.038716532,-0.20718586,-0.15171267,0.09834311,-0.18279202,0.1454745,-0.06761714,0.31945023,0.34445783,-0.063692264,0.09788788,-0.27606064,-0.04127217,0.037541006,0.0053361487,-0.0149507085,0.18860684,-0.18752123,-0.21261644,0.35704282,0.017008329,0.16241805,0.21793237,0.19834594
