tax_code,node_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
3703060537,COMPANY::3703060537,0.16937736,0.22202742,0.020828689,-0.0059079146,0.12059209,0.14035603,-0.15130867,0.006376474,-0.12493639,-0.32077143,-0.27122203,-0.1769198,0.005401215,0.020993931,-0.035188325,-0.034647364,-0.33182737,-0.015199009,0.056666248,-0.2924583,-0.14073116,0.09950474,-0.12510483,0.1289113,-0.1083642,0.2841592,-0.2783423,0.15263924,0.04784618,0.2616164,-0.10036161,0.32088745
2500571196-003,COMPANY::2500571196-003,-0.31098798,-0.30750006,-0.11536362,-0.042405628,-0.19600259,-0.14686379,0.12473216,-0.044822354,-0.022288937,0.19511326,0.32695913,0.026750674,0.02915004,0.057866435,0.0017480514,0.13317765,0.27717036,0.07710686,-0.013364089,0.14124835,0.27577025,-0.15648443,0.061226856,-0.25588486,0.23946336,-0.109963305,0.25368288,-0.07665691,-0.15397383,-0.0027094842,0.16761798,-0.2895005
3703060569,COMPANY::3703060569,0.07779687,0.076642916,0.027725192,0.026421899,0.021647109,0.06077305,-0.040275626,0.046117075,-0.06886026,-0.117707595,-0.11120381,-0.034248907,-0.014818331,-0.020478338,0.019652436,-0.048934016,-0.30379406,-0.08117749,-0.16184181,-0.20802525,-0.28827468,0.15380338,-0.29441154,0.25254664,-0.2698549,0.25705743,-0.3078993,0.108706884,0.118812144,0.2422038,-0.29944164,0.3310782
3703060576,COMPANY::3703060576,0.09110736,0.07655198,0.043508995,0.040614016,0.029882707,0.07622573,-0.052858274,0.06525349,-0.09937777,-0.14332947,-0.14215675,-0.052290585,-0.025804302,-0.0412868,0.028633691,-0.046680834,-0.30036145,-0.07883527,-0.16344674,-0.17901601,-0.2529995,0.17897351,-0.19207278,0.2997917,-0.33602655,0.23965882,-0.30493188,0.12792264,0.12063012,0.1299654,-0.20811868,0.42113537
3703060590,COMPANY::3703060590,0.16555363,0.20321646,0.02977585,0.022630448,0.06975179,0.077368855,-0.089196794,0.056495473,-0.065787174,-0.2177286,-0.23020737,-0.086925216,0.0528801,0.011217715,0.03880827,-0.067147695,-0.23118399,-0.12500243,-0.06912215,-0.15687463,-0.2611361,0.17959943,-0.29066306,0.23820019,-0.26906204,0.26006058,-0.30158675,0.033746336,0.12966157,0.21249881,-0.27935296,0.27279717
3703060960,COMPANY::3703060960,0.15315028,0.18514965,0.024458645,0.014156542,0.061973147,0.061573632,-0.1037211,0.055613086,-0.060307633,-0.1992585,-0.21731587,-0.089487344,0.055142395,0.009687785,0.035014857,-0.06574431,-0.26577008,-0.08355727,-0.1411705,-0.21732292,-0.25159398,0.17411225,-0.23204641,0.2984094,-0.2768952,0.26087785,-0.28538635,0.09290137,0.08957285,0.16695687,-0.18745756,0.3544012
4001251998,COMPANY::4001251998,0.14736243,0.16383189,0.032866023,0.027186528,0.059701,0.056355573,-0.0822018,0.061917268,-0.06321589,-0.18022615,-0.2005911,-0.05883174,0.034407154,-0.01765719,0.031877052,-0.06930711,-0.2628375,-0.08451075,-0.13212149,-0.22003809,-0.28110403,0.16731638,-0.1975299,0.2738699,-0.31643662,0.23765036,-0.29261926,0.13538535,0.13390154,0.15461943,-0.24654649,0.3442088
3703060625,COMPANY::3703060625,0.15561871,0.19627362,0.037080336,0.03370225,0.07597582,0.07725562,-0.09713788,0.060168568,-0.08159934,-0.2224609,-0.21456145,-0.080053285,0.06921739,-0.016615666,0.029203046,-0.0651299,-0.24751467,-0.083165005,-0.10379462,-0.20500682,-0.25150523,0.1664595,-0.23538318,0.29381,-0.27020556,0.30601254,-0.2589823,0.07549547,0.13187896,0.18348256,-0.19515292,0.33008254
2100674937,COMPANY::2100674937,0.07346317,0.2531027,0.016613366,0.028329203,-0.029546348,0.04947557,-0.15045138,0.14034942,-0.031812243,-0.10140761,-0.24533889,-0.08898945,0.098424144,0.0026821217,0.0026118602,-0.12147167,-0.30421507,-0.09268242,-0.17549294,-0.2290878,-0.24768136,0.15805438,-0.21674576,0.21328123,-0.33054748,0.18297787,-0.25920695,0.07691974,0.06846477,0.1632906,-0.24973467,0.32736784
3703060689,COMPANY::3703060689,0.07252898,0.0690929,0.03500956,0.03068575,0.024178406,0.057598762,-0.042609707,0.043045096,-0.07935559,-0.11906108,-0.11524884,-0.042743117,-0.0016186173,-0.028591106,0.01334724,-0.041096427,-0.31417874,-0.071170874,-0.20413518,-0.23558499,-0.26455742,0.15610825,-0.23721573,0.29010242,-0.28094038,0.2772239,-0.2883882,0.13385366,0.105494976,0.19837402,-0.19417976,0.40145978
